ManagedElementType,SubNetwork,ManagedElement,plmn,gNBId,cellLocalId,gNBName,CellName,nrCellScene,caSupport,resourceExpansion,cpIdNum,bwpCfgType,spectrumShareScene,pci,ssbFrequency,frequency,nrbandwidth,frequencyBandList,vswName,vbpName,vbpUnitNum,aauName,coverageType,networkingMode,mimVersion,adminState,cellState,serviceStatus,connectionState,cqiReportPeriod,duplexMode,qcellFlag,reserved251,numberOfRBs_DL,bwp0Bandwidth_DL,firstActiveBwpBandwidth_DL,numberOfRBs_UL,bwp0Bandwidth_UL,firstActiveBwpBandwidth_UL
ITBBU,441601,7905534,460-01,7905534,1,市区高塘支局5GBBU_6,GO_N1_河源市区_贝嘉利AAU1,Normal,0,true,1,dualbwp,Normal,815,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905681,460-11,7905681,6,市区枢纽楼5GBBU_12,GO_N78_河源市区_时代名苑4栋外引AAU3,Normal,0,true,1,multibwp,Normal,590,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906035,460-01,7906035,8,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和福盈门温泉RRU2,Normal,0,true,1,dualbwp,Normal,506,2144.55,2130.0,,1,VSWd1,VBPe04,1,R9254E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905487,460-11,7905487,4,市区高新区支局5GBBU_18-XJ,GO_N78_河源市区_高新科八路西AAU1,Normal,0,true,1,multibwp,Normal,655,3408.96,3450.0,,78,VSWc2,VBPc5,1,A9611 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905534,460-01,7905534,6,市区高塘支局5GBBU_6,GO_N1_河源市区_洗衣屋AAU3,Normal,0,true,1,dualbwp,Normal,820,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7906045,460-11,7906045,1,市区临江支局5GBBU_7-XJ,GS_N1_河源市区_月岛首府3栋5栋7栋外引AAU1,Normal,0,true,1,dualbwp,Normal,796,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9212E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7906027,460-11,7906027,5,东源仙塘新局5GBBU_10-XJ,GO_N1_河源东源_仙塘马岭凹市场AAU2,Normal,0,true,1,dualbwp,Normal,238,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905994,460-11,7905994,1,东源县局5GBBU_25-XJ,GO_N78_河源东源_黄竹沥铁架桥AAU1,Normal,0,true,1,multibwp,Normal,944,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905617,460-01,7905617,2,市区枢纽楼5GBBU_32,GO_N78_河源市区_永祥路东AAU2,Normal,0,true,1,multibwp,Normal,247,3408.96,3450.0,,78,VSWd1,VBPd02,1,A9642A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905927,460-11,7905927,4,市区枢纽楼5GBBU_15-XJ,GO_N78_河源市区_佳和岭南苑B座外引AAU1,Normal,0,true,1,multibwp,Normal,642,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905534,460-11,7905534,4,市区高塘支局5GBBU_6,GO_N1_河源市区_洗衣屋AAU1,Normal,0,true,1,dualbwp,Normal,818,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905927,460-11,7905927,5,市区枢纽楼5GBBU_15-XJ,GO_N78_河源市区_佳和岭南苑B座外引AAU2,Normal,0,true,1,multibwp,Normal,643,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906045,460-11,7906045,4,市区临江支局5GBBU_7-XJ,GO_N1_河源市区_临江新村AAU1,Normal,0,true,1,dualbwp,Normal,239,2144.55,2139.9,,1,VSWd1,VBPd04,1,R8894E S2100(A8C),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7906045,460-01,7906045,4,市区临江支局5GBBU_7-XJ,GO_N1_河源市区_临江新村AAU1,Normal,0,true,1,dualbwp,Normal,239,2144.55,2139.9,,1,VSWd1,VBPd04,1,R8894E S2100(A8C),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905534,460-01,7905534,2,市区高塘支局5GBBU_6,GO_N1_河源市区_贝嘉利AAU2,Normal,0,true,1,dualbwp,Normal,816,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905446,460-01,7905446,1,河源广师大接入网5GBBU_2-XJ,GO_N78_河源东源_广师大河源校区厚德楼AAU1,Normal,0,true,1,multibwp,Normal,570,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905487,460-01,7905487,4,市区高新区支局5GBBU_18-XJ,GO_N78_河源市区_高新科八路西AAU1,Normal,0,true,1,multibwp,Normal,655,3408.96,3450.0,,78,VSWc2,VBPc5,1,A9611 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906027,460-01,7906027,2,东源仙塘新局5GBBU_10-XJ,GO_N1_河源东源_力升树灯厂AAU2,Normal,0,true,1,dualbwp,Normal,445,2144.55,2130.0,,1,VSWd1,VBPd24,1,R9224H M1821(ACC),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905322,460-01,7905322,3,市区明珠支局5GBBU_3-XJ,GO_N78_河源市区_双下路口AAU1,Normal,0,true,1,multibwp,Normal,59,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906027,460-11,7906027,4,东源仙塘新局5GBBU_10-XJ,GO_N1_河源东源_仙塘马岭凹市场AAU1,Normal,0,true,1,dualbwp,Normal,237,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7906035,460-11,7906035,7,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和福盈门温泉RRU1,Normal,0,true,1,dualbwp,Normal,505,2144.55,2130.0,,1,VSWd1,VBPe04,1,R9254E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905994,460-01,7905994,4,东源县局5GBBU_25-XJ,GO_N1_河源东源_东江画廊AAU1,Normal,0,true,1,dualbwp,Normal,473,2144.55,2130.0,,1,VSWd1,VBPd24,1,R9224H M1821(ACC),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905994,460-01,7905994,1,东源县局5GBBU_25-XJ,GO_N78_河源东源_黄竹沥铁架桥AAU1,Normal,0,true,1,multibwp,Normal,944,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906035,460-01,7906035,3,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和热水AAU3,Normal,0,true,1,dualbwp,Normal,6,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905994,460-01,7905994,5,东源县局5GBBU_25-XJ,GO_N1_河源东源_东江画廊AAU2,Normal,0,true,1,dualbwp,Normal,439,2144.55,2130.0,,1,VSWd1,VBPd24,1,R9224H M1821(ACC),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7906045,460-11,7906045,6,市区临江支局5GBBU_7-XJ,GO_N1_河源市区_临江新村AAU3,Normal,0,true,1,dualbwp,Normal,430,2144.55,2139.9,,1,VSWd1,VBPd04,1,R8894E M1821(A8C),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905322,460-11,7905322,4,市区明珠支局5GBBU_3-XJ,GO_N78_河源市区_双下路口AAU2,Normal,0,true,1,multibwp,Normal,63,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905853,460-11,7905853,1,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云梅花-2AAU1,Normal,0,true,1,dualbwp,Normal,228,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905617,460-11,7905617,5,市区枢纽楼5GBBU_32,GO_N78_河源市区_老干部活动中心AAU2,Normal,0,true,1,multibwp,Normal,688,3408.96,3450.0,,78,VSWd1,VBPd02,1,A9642A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905487,460-01,7905487,3,市区高新区支局5GBBU_18-XJ,GO_N78_河源市区_高新兴业大道AAU3,Normal,0,true,1,multibwp,Normal,299,3408.96,3450.0,,78,VSWc2,VBPc5,1,A9611 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905322,460-01,7905322,7,市区明珠支局5GBBU_3-XJ,GO_N1_河源市区_桂山高速收费站AAU2,Normal,0,true,1,dualbwp,Normal,652,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905322,460-01,7905322,5,市区明珠支局5GBBU_3-XJ,GO_N78_河源市区_双下路口AAU3,Normal,0,true,1,multibwp,Normal,64,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906035,460-11,7906035,1,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和热水AAU1,Normal,0,true,1,dualbwp,Normal,4,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905446,460-11,7905446,1,河源广师大接入网5GBBU_2-XJ,GO_N78_河源东源_广师大河源校区厚德楼AAU1,Normal,0,true,1,multibwp,Normal,570,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905617,460-11,7905617,4,市区枢纽楼5GBBU_32,GO_N78_河源市区_老干部活动中心AAU1,Normal,0,true,1,multibwp,Normal,708,3408.96,3450.0,,78,VSWd1,VBPd02,1,A9642A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905853,460-01,7905853,5,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云软塘村AAU2,Normal,0,true,1,dualbwp,Normal,450,2144.55,2130.0,,1,VSWd1,VBPd04,1,R8894E S2100(A8C),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905322,460-01,7905322,6,市区明珠支局5GBBU_3-XJ,GO_N1_河源市区_桂山高速收费站AAU1,Normal,0,true,1,dualbwp,Normal,651,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905741,460-11,7905741,2,东源半江支局5GBBU_1,GM_N1_河源东源_半江支局AAU2,Normal,0,true,1,dualbwp,Normal,2,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905853,460-01,7905853,4,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云软塘村AAU1,Normal,0,true,1,dualbwp,Normal,288,2144.55,2130.0,,1,VSWd1,VBPd04,1,R8894E M1821(A8C),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905853,460-11,7905853,2,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云梅花-2AAU2,Normal,0,true,1,dualbwp,Normal,229,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905927,460-01,7905927,6,市区枢纽楼5GBBU_15-XJ,GO_N78_河源市区_佳和岭南苑B座外引AAU3,Normal,0,true,1,multibwp,Normal,644,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905927,460-11,7905927,6,市区枢纽楼5GBBU_15-XJ,GO_N78_河源市区_佳和岭南苑B座外引AAU3,Normal,0,true,1,multibwp,Normal,644,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905741,460-11,7905741,1,东源半江支局5GBBU_1,GM_N1_河源东源_半江支局AAU1,Normal,0,true,1,dualbwp,Normal,1,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7906027,460-01,7906027,6,东源仙塘新局5GBBU_10-XJ,GO_N1_河源东源_仙塘马岭凹市场AAU3,Normal,0,true,1,dualbwp,Normal,239,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905487,460-01,7905487,6,市区高新区支局5GBBU_18-XJ,GO_N78_河源市区_高新科八路西AAU3,Normal,0,true,1,multibwp,Normal,789,3408.96,3450.0,,78,VSWc2,VBPc5,1,A9611 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906027,460-11,7906027,3,东源仙塘新局5GBBU_10-XJ,GO_N1_河源东源_力升树灯厂AAU3,Normal,0,true,1,dualbwp,Normal,446,2144.55,2130.0,,1,VSWd1,VBPd24,1,R9224H M1821(ACC),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905487,460-11,7905487,2,市区高新区支局5GBBU_18-XJ,GO_N78_河源市区_高新兴业大道AAU2,Normal,0,true,1,multibwp,Normal,298,3408.96,3450.0,,78,VSWc2,VBPc5,1,A9611 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905446,460-11,7905446,2,河源广师大接入网5GBBU_2-XJ,GO_N78_河源东源_广师大河源校区厚德楼AAU2,Normal,0,true,1,multibwp,Normal,571,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905617,460-11,7905617,1,市区枢纽楼5GBBU_32,GO_N78_河源市区_永祥路东AAU1,Normal,0,true,1,multibwp,Normal,246,3408.96,3450.0,,78,VSWd1,VBPd02,1,A9642A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905487,460-01,7905487,1,市区高新区支局5GBBU_18-XJ,GO_N78_河源市区_高新兴业大道AAU1,Normal,0,true,1,multibwp,Normal,297,3408.96,3450.0,,78,VSWc2,VBPc5,1,A9611 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905617,460-01,7905617,3,市区枢纽楼5GBBU_32,GO_N78_河源市区_永祥路东AAU3,Normal,0,true,1,multibwp,Normal,833,3408.96,3450.0,,78,VSWd1,VBPd02,1,A9642A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906035,460-11,7906035,3,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和热水AAU3,Normal,0,true,1,dualbwp,Normal,6,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905927,460-01,7905927,1,市区枢纽楼5GBBU_15-XJ,GO_N78_河源市区_三友邨C5栋外引AAU1,Normal,0,true,1,multibwp,Normal,7,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906045,460-11,7906045,2,市区临江支局5GBBU_7-XJ,GS_N1_河源市区_月岛首府3栋5栋7栋外引AAU2,Normal,0,true,1,dualbwp,Normal,218,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9212E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905487,460-11,7905487,6,市区高新区支局5GBBU_18-XJ,GO_N78_河源市区_高新科八路西AAU3,Normal,0,true,1,multibwp,Normal,789,3408.96,3450.0,,78,VSWc2,VBPc5,1,A9611 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905927,460-11,7905927,2,市区枢纽楼5GBBU_15-XJ,GO_N78_河源市区_三友邨C5栋外引AAU2,Normal,0,true,1,multibwp,Normal,8,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905446,460-11,7905446,4,河源广师大接入网5GBBU_2-XJ,GO_N78_河源东源_广师大河源校区学生宿舍南苑1栋AAU1,Normal,0,true,1,multibwp,Normal,29,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906035,460-01,7906035,6,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和五一AAU3,Normal,0,true,1,dualbwp,Normal,62,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905994,460-01,7905994,3,东源县局5GBBU_25-XJ,GO_N78_河源东源_黄竹沥铁架桥AAU3,Normal,0,true,1,multibwp,Normal,774,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905853,460-11,7905853,4,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云软塘村AAU1,Normal,0,true,1,dualbwp,Normal,288,2144.55,2130.0,,1,VSWd1,VBPd04,1,R8894E M1821(A8C),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905322,460-11,7905322,5,市区明珠支局5GBBU_3-XJ,GO_N78_河源市区_双下路口AAU3,Normal,0,true,1,multibwp,Normal,64,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7905994,460-11,7905994,5,东源县局5GBBU_25-XJ,GO_N1_河源东源_东江画廊AAU2,Normal,0,true,1,dualbwp,Normal,439,2144.55,2130.0,,1,VSWd1,VBPd24,1,R9224H M1821(ACC),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7906035,460-01,7906035,4,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和五一AAU1,Normal,0,true,1,dualbwp,Normal,60,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905853,460-01,7905853,7,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云镇TAAU1,Normal,0,true,1,dualbwp,Normal,141,2144.55,2130.0,,1,VSWd1,VBPd24,1,R9224H M1821(ACC),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905853,460-01,7905853,9,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云镇TAAU3,Normal,0,true,1,dualbwp,Normal,143,2144.55,2130.0,,1,VSWd1,VBPd24,1,R9224H M1821(ACC),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905681,460-11,7905681,4,市区枢纽楼5GBBU_12,GO_N78_河源市区_时代名苑4栋外引AAU1,Normal,0,true,1,multibwp,Normal,588,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
